state,district,crop,modal_price,N,P,K,temperature,humidity,ph,rainfall,season
Assam,cachar,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,cachar,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,cachar,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,cachar,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,cachar,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,cachar,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,dhubri,jute,2800,78.4,46.86,39.99,24.96,79.64,6.73,174.79,Kharif
Assam,dhubri,rice,4500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,dhubri,rice,4500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,dhubri,rice,4500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,dhubri,rice,2500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,dhubri,rice,2500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,dhubri,rice,2500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,jorhat,rice,3200,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,jorhat,rice,3200,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,jorhat,rice,3200,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,sonitpur,jute,3900,78.4,46.86,39.99,24.96,79.64,6.73,174.79,Kharif
Assam,sonitpur,maize,1800,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Assam,sonitpur,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,sonitpur,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,sonitpur,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,sonitpur,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,sonitpur,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,sonitpur,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Kerala,alappuzha,banana,4300,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,alappuzha,banana,2900,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,alappuzha,banana,2100,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kannur,coconut,3300,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Kerala,kollam,banana,6100,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,2700,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,5900,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,4800,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,2400,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,4200,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,2000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,4500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kottayam,banana,3800,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kottayam,banana,4000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kottayam,banana,1800,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kottayam,banana,3000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kottayam,coconut,3600,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Kerala,thiruvananthapuram,banana,3900,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,3600,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,3200,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,1700,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,1400,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,1100,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,3000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,2700,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,3400,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,1800,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,1500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,1200,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,3800,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,thiruvananthapuram,banana,3500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Madhya_Pradesh,dhar,banana,1200,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Madhya_Pradesh,dhar,banana,800,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Maharashtra,jalgaon,banana,910,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Maharashtra,jalgaon,maize,1350,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Autumn
Maharashtra,jalgaon,maize,1350,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Maharashtra,jalgaon,maize,1350,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Maharashtra,jalgaon,maize,1350,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Summer
Maharashtra,kolhapur,mango,4500,20.07,27.18,29.92,31.21,50.16,5.77,94.7,Whole_Year
Maharashtra,pune,grapes,3000,23.18,132.53,200.11,23.85,81.88,6.03,69.61,Whole_Year
Maharashtra,satara,banana,1000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Maharashtra,satara,grapes,2250,23.18,132.53,200.11,23.85,81.88,6.03,69.61,Whole_Year
Manipur,bishnupur,banana,3500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Manipur,bishnupur,rice,3700,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Manipur,bishnupur,rice,3700,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Manipur,bishnupur,rice,3700,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Manipur,chandel,banana,3000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Manipur,chandel,banana,3000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Autumn
Manipur,chandel,banana,3000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Rabi
Manipur,chandel,banana,3000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Winter
Manipur,chandel,banana,3000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Summer
Manipur,chandel,rice,3500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Manipur,chandel,rice,3500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Manipur,chandel,rice,3500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Manipur,imphal_east,banana,3500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Autumn
Manipur,imphal_east,banana,3500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Summer
Manipur,imphal_east,banana,3500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Winter
Manipur,imphal_east,banana,3500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Manipur,imphal_east,rice,4100,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Manipur,imphal_east,rice,4100,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Manipur,imphal_east,rice,4100,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Manipur,imphal_west,banana,3500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Manipur,imphal_west,banana,3500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Summer
Manipur,imphal_west,rice,3800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Manipur,imphal_west,rice,3800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Manipur,imphal_west,rice,3800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Manipur,thoubal,banana,3500,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Manipur,thoubal,rice,3900,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Manipur,thoubal,rice,3900,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Manipur,thoubal,rice,3900,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Meghalaya,east_khasi_hills,banana,4000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Meghalaya,east_khasi_hills,banana,4000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Kharif
Odisha,ganjam,maize,1350,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Autumn
Odisha,ganjam,maize,1350,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Summer
Odisha,ganjam,maize,1350,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Winter
Odisha,ganjam,maize,1350,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Odisha,ganjam,maize,1350,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Rajasthan,jalore,papaya,1400,49.88,59.05,50.04,33.72,92.4,6.74,142.63,Whole_Year
Rajasthan,tonk,maize,1875,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Tamil_Nadu,coimbatore,coconut,2900,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,coimbatore,coconut,2500,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,coimbatore,coconut,3100,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,coimbatore,coconut,3150,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,coimbatore,coconut,2140,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,coimbatore,coconut,2720,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,coimbatore,coconut,2400,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,coimbatore,coconut,2270,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,coimbatore,coconut,2800,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,coimbatore,coconut,2750,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,coimbatore,maize,1925,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Whole_Year
Tamil_Nadu,coimbatore,maize,1925,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Tamil_Nadu,coimbatore,maize,1925,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Tamil_Nadu,coimbatore,maize,1850,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Whole_Year
Tamil_Nadu,coimbatore,maize,1850,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Tamil_Nadu,coimbatore,maize,1850,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Tamil_Nadu,dindigul,coconut,1600,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,dindigul,coconut,1650,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,dindigul,maize,1600,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Whole_Year
Tamil_Nadu,dindigul,maize,1600,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Tamil_Nadu,dindigul,maize,1600,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Tamil_Nadu,erode,coconut,3000,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,erode,coconut,2870,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,erode,coconut,2935,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,erode,coconut,2530,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,erode,coconut,3225,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,madurai,coconut,1750,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,namakkal,coconut,2350,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,salem,coconut,2210,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,salem,coconut,1280,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,salem,coconut,2310,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,salem,maize,1840,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Whole_Year
Tamil_Nadu,salem,maize,1840,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Tamil_Nadu,salem,maize,1840,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Tamil_Nadu,sivaganga,coconut,950,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Tamil_Nadu,vellore,maize,2210,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Whole_Year
Tamil_Nadu,vellore,maize,2210,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Tamil_Nadu,vellore,maize,2210,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Tamil_Nadu,villupuram,maize,1900,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Tamil_Nadu,villupuram,maize,1900,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Whole_Year
Tamil_Nadu,villupuram,maize,1900,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Tamil_Nadu,villupuram,maize,1849,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Tamil_Nadu,villupuram,maize,1849,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Whole_Year
Tamil_Nadu,villupuram,maize,1849,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Tamil_Nadu,villupuram,maize,2029,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Tamil_Nadu,villupuram,maize,2029,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Whole_Year
Tamil_Nadu,villupuram,maize,2029,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Tripura,north_tripura,rice,2600,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Uttar_Pradesh,agra,rice,2540,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Uttar_Pradesh,agra,rice,2540,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Uttar_Pradesh,agra,rice,2300,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Uttar_Pradesh,agra,rice,2300,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Uttar_Pradesh,aligarh,maize,1940,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Uttar_Pradesh,aligarh,maize,1940,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Summer
Uttar_Pradesh,aligarh,maize,1940,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Uttar_Pradesh,bahraich,banana,900,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Uttar_Pradesh,bahraich,banana,900,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Summer
Uttar_Pradesh,bahraich,rice,2150,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Uttar_Pradesh,bahraich,rice,2150,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Uttar_Pradesh,ballia,banana,1750,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Summer
Uttar_Pradesh,ballia,rice,2100,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Uttar_Pradesh,ballia,rice,2100,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Uttar_Pradesh,ghaziabad,banana,1260,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Summer
Uttar_Pradesh,ghaziabad,rice,2670,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Uttar_Pradesh,ghaziabad,rice,2670,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Uttar_Pradesh,lakhimpur,banana,1785,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Uttar_Pradesh,lakhimpur,banana,1785,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Rabi
Uttar_Pradesh,lakhimpur,orange,1750,19.58,16.55,10.01,22.77,92.17,7.02,110.48,Whole_Year
Uttar_Pradesh,lakhimpur,orange,1750,19.58,16.55,10.01,22.77,92.17,7.02,110.48,Kharif
Uttar_Pradesh,lakhimpur,rice,2250,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Uttar_Pradesh,lakhimpur,rice,2250,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Uttar_Pradesh,lakhimpur,rice,2250,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Uttar_Pradesh,mirzapur,rice,2320,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Uttar_Pradesh,muzaffarnagar,maize,1930,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Uttar_Pradesh,muzaffarnagar,maize,1930,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Summer
Uttar_Pradesh,muzaffarnagar,maize,1930,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Rabi
Uttar_Pradesh,muzaffarnagar,rice,2700,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Uttar_Pradesh,muzaffarnagar,rice,2700,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Uttar_Pradesh,muzaffarnagar,rice,3900,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
Uttar_Pradesh,muzaffarnagar,rice,3900,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Uttar_Pradesh,sonbhadra,rice,2240,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Kharif
West_Bengal,bankura,rice,2650,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
West_Bengal,bankura,rice,2650,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
West_Bengal,bankura,rice,2650,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
West_Bengal,bankura,rice,2850,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
West_Bengal,bankura,rice,2850,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
West_Bengal,bankura,rice,2850,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
West_Bengal,hooghly,rice,2850,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
West_Bengal,hooghly,rice,2850,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
West_Bengal,hooghly,rice,2850,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
West_Bengal,murshidabad,jute,4300,78.4,46.86,39.99,24.96,79.64,6.73,174.79,Kharif
West_Bengal,murshidabad,jute,3800,78.4,46.86,39.99,24.96,79.64,6.73,174.79,Kharif
West_Bengal,murshidabad,rice,2700,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
West_Bengal,murshidabad,rice,2700,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
West_Bengal,murshidabad,rice,2700,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
West_Bengal,murshidabad,rice,2900,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
West_Bengal,murshidabad,rice,2900,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
West_Bengal,murshidabad,rice,2900,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
West_Bengal,nadia,jute,4300,78.4,46.86,39.99,24.96,79.64,6.73,174.79,Kharif
West_Bengal,nadia,rice,3800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
West_Bengal,nadia,rice,3800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
West_Bengal,nadia,rice,3800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
